algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Bubble Sort,aleatoria,100,3,0.001005166656492899,0.0009431999933440238,0.0010657999955583364,5.0060120192764e-05,4775.0,2289.3333333333335,4578.666666666667
Bubble Sort,aleatoria,500,3,0.03011533333725917,0.02859480000915937,0.03146440000273287,0.0011777667123482357,124479.0,61300.333333333336,122600.66666666667
Bubble Sort,aleatoria,1000,3,0.1290530666592531,0.12772570000379346,0.12978129999828525,0.0009400685728458646,498589.6666666667,245485.0,490970.0
Bubble Sort,aleatoria,5000,3,3.8923396666844687,3.656901200010907,4.352253400022164,0.3252389168217464,12492978.666666666,6247762.666666667,12495525.333333334
Bubble Sort,aleatoria,10000,3,16.373085700004594,15.856246300012572,17.351784600003157,0.6924085258450633,49989838.666666664,24846059.666666668,49692119.333333336
Bubble Sort,aleatoria,50000,3,432.2669488666579,426.03076189997955,440.8857347999874,6.294184529754811,1249964281.3333333,625487195.6666666,1250974391.3333333
Bubble Sort,aleatoria,100000,3,1686.3633831666666,1538.1859753000026,1867.3464385999832,136.3666883422904,4999868357.0,2502106228.6666665,5004212457.333333
Bubble Sort,ordenada,100,3,1.3499996081615487e-05,1.1800002539530396e-05,1.6300007700920105e-05,1.9950006584444712e-06,99.0,0.0,0.0
Bubble Sort,ordenada,500,3,6.776665880655249e-05,5.909998435527086e-05,8.210001396946609e-05,1.0208943571827947e-05,499.0,0.0,0.0
Bubble Sort,ordenada,1000,3,0.0001405333362830182,0.00013460000627674162,0.00014960000407882035,6.512210981074629e-06,999.0,0.0,0.0
Bubble Sort,ordenada,5000,3,0.0007070666567112008,0.000698099989676848,0.0007230999763123691,1.1363773341020051e-05,4999.0,0.0,0.0
Bubble Sort,ordenada,10000,3,0.001491399996060257,0.0014104000001680106,0.0015564000059384853,6.06684986110653e-05,9999.0,0.0,0.0
Bubble Sort,ordenada,50000,3,0.00730426666753677,0.007214599987491965,0.007376599998679012,6.726234530693635e-05,49999.0,0.0,0.0
Bubble Sort,ordenada,100000,3,0.014935933334830528,0.014908099983585998,0.014987700007623062,3.6639176363699414e-05,99999.0,0.0,0.0
Bubble Sort,inversa,100,3,0.0014744000024317454,0.0014645000046584755,0.0014839000068604946,7.925066450460924e-06,4950.0,4950.0,9900.0
Bubble Sort,inversa,500,3,0.04036773332821516,0.03948219999438152,0.04141410000738688,0.0007968521145909101,124750.0,124750.0,249500.0
Bubble Sort,inversa,1000,3,0.17298223333394466,0.17233619999024086,0.17426470000646077,0.0009068493497295646,499500.0,499500.0,999000.0
Bubble Sort,inversa,5000,3,4.7529132999867825,4.7059546999807935,4.778247999987798,0.03323928494060891,12497500.0,12497500.0,24995000.0
Bubble Sort,inversa,10000,3,19.411177100002533,19.32813830001396,19.511924299993552,0.07606801351470309,49995000.0,49995000.0,99990000.0
