algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Bubble Sort,aleatoria,100,3,0.0003091383334018853,0.0002884430000449356,0.00032947599993349286,1.6753561096715077e-05,4775.0,2289.3333333333335,4578.666666666667
Bubble Sort,aleatoria,500,3,0.008524411000053078,0.008475899000131903,0.008553669000320951,3.4545434906686106e-05,124479.0,61300.333333333336,122600.66666666667
Bubble Sort,aleatoria,1000,3,0.03768895600008667,0.03661491900038527,0.03824074199974348,0.0007595545565642212,498589.6666666667,245485.0,490970.0
Bubble Sort,aleatoria,5000,3,1.0466006496665916,1.0299245349997364,1.0740640779999922,0.0195678207979867,12492978.666666666,6247762.666666667,12495525.333333334
Bubble Sort,aleatoria,10000,3,4.216613725666623,4.188908818000073,4.236003642000014,0.020105304814886864,49989838.666666664,24846059.666666668,49692119.333333336
Bubble Sort,ordenada,100,3,3.064666695233124e-06,2.6230000003124587e-06,3.6399997043190524e-06,4.2581068731246434e-07,99.0,0.0,0.0
Bubble Sort,ordenada,500,3,1.8387333360199893e-05,1.779000012902543e-05,1.8969999928231118e-05,4.818445218028906e-07,499.0,0.0,0.0
Bubble Sort,ordenada,1000,3,3.9786000039991144e-05,3.918599986718618e-05,4.056800025864504e-05,5.786906387209379e-07,999.0,0.0,0.0
Bubble Sort,ordenada,5000,3,0.00022336566674615219,0.00021313400020517292,0.00023012600013316842,7.358425138918508e-06,4999.0,0.0,0.0
Bubble Sort,ordenada,10000,3,0.0004396669998338136,0.00043432299980850075,0.0004448589997991803,4.30264662462285e-06,9999.0,0.0,0.0
Bubble Sort,inversa,100,3,0.00039813366674934514,0.00039139000000432134,0.00040236900031231926,4.820332869203345e-06,4950.0,4950.0,9900.0
Bubble Sort,inversa,500,3,0.010803077000067182,0.01069092699981411,0.010871706000216363,7.996174016007715e-05,124750.0,124750.0,249500.0
Bubble Sort,inversa,1000,3,0.047567948666558856,0.04745526199985761,0.047763982999640575,0.00013913372235623307,499500.0,499500.0,999000.0
Bubble Sort,inversa,5000,3,1.4101571800000177,1.3236538510000173,1.4816980010000407,0.06538295303591252,12497500.0,12497500.0,24995000.0
Bubble Sort,inversa,10000,3,5.442678858666568,5.3826965219996055,5.534707061000063,0.06606564473582553,49995000.0,49995000.0,99990000.0
Bubble Sort,parcialmente_ordenada,100,3,0.0001992076665070878,0.00019382699974812567,0.000209452000035526,7.2469119551569165e-06,4638.666666666667,523.3333333333334,1046.6666666666667
Bubble Sort,parcialmente_ordenada,500,3,0.005249553999874479,0.005097613999623718,0.005403409999871656,0.00012484804559458233,119517.66666666667,14267.0,28534.0
Bubble Sort,parcialmente_ordenada,1000,3,0.02471366966650142,0.024577302999659878,0.024978641999950923,0.00018739052164114717,494512.0,56160.0,112320.0
Bubble Sort,parcialmente_ordenada,5000,3,0.6646787436666273,0.6569655520002016,0.6780053689999477,0.009462256707402365,12468250.666666666,1433328.0,2866656.0
Bubble Sort,parcialmente_ordenada,10000,3,2.7021571146665337,2.6986864809996405,2.7047656459999416,0.002555579138574048,49959748.666666664,5750635.333333333,11501270.666666666
Insertion Sort,aleatoria,100,3,0.00015082966683621635,0.00013774300032309839,0.00016072900007202406,9.650850262365134e-06,2386.0,0.0,2388.3333333333335
Insertion Sort,aleatoria,500,3,0.0040104426666403015,0.0038662320002913475,0.004101166999589623,0.00010309931900590693,61794.666666666664,0.0,61799.333333333336
Insertion Sort,aleatoria,1000,3,0.016110572000191798,0.015615905000231578,0.01643203999992693,0.00035498122456562026,246478.33333333334,0.0,246484.0
Insertion Sort,aleatoria,5000,3,0.4741191349999099,0.4390032820001579,0.5043314859999555,0.026894569567797316,6252755.0,0.0,6252761.666666667
Insertion Sort,aleatoria,10000,3,1.761111401666767,1.7400137800000266,1.7917246850001902,0.02215724541694459,24856051.0,0.0,24856058.666666668
Insertion Sort,ordenada,100,3,5.546333341044374e-06,5.062000127509236e-06,6.265000138228061e-06,5.183219255549918e-07,99.0,0.0,99.0
Insertion Sort,ordenada,500,3,3.327733338664984e-05,3.2701999771234114e-05,3.4034000236715656e-05,5.586994520027488e-07,499.0,0.0,499.0
Insertion Sort,ordenada,1000,3,7.423966674953893e-05,7.369300010395818e-05,7.459200014636735e-05,3.9189652353727014e-07,999.0,0.0,999.0
Insertion Sort,ordenada,5000,3,0.0004070106665494677,0.00040589499985799193,0.0004077459998370614,8.020973981631713e-07,4999.0,0.0,4999.0
Insertion Sort,ordenada,10000,3,0.0008405456668090968,0.0008118040000226756,0.0008616190002612711,2.1047344476784693e-05,9999.0,0.0,9999.0
Insertion Sort,inversa,100,3,0.0002854483330641718,0.0002822189999278635,0.00029131499968571006,4.155393991181634e-06,4950.0,0.0,5049.0
